IdR,nom_repas,date_repas,adr_repas,nom_chevalier_dame
26,Agapes fraternelles #8285,2006-02-17,"482, rue Suzanne Delannoy, 09194 Boulay",Agnès Besson
27,Banquet royal #3909,2018-01-09,"64, chemin de Gaudin, 43340 Bonnin",Juliette Bonneau Le Lebrun
28,Festin des chevaliers #170,2017-04-24,"58, boulevard de Collin, 84441 Masseboeuf",Antoinette Maillet
29,Festin des chevaliers #790,2009-06-24,"44, avenue Labbé, 80258 Guichard",Aimée-Capucine Maillot
30,Souper d'apparat #2609,2020-04-03,"chemin Luc Couturier, 30662 Benoitdan",Bernard Rousset
31,Banquet royal #7173,2016-10-21,"chemin Isaac Guichard, 43597 Saint Michel",Frédérique Renaud du Fleury
32,Agapes fraternelles #2162,2009-10-23,"68, boulevard Amélie Blanc, 57840 Gaillard-la-Forê",Isaac Hubert
33,Dîner de gala #7275,2014-02-06,"avenue Benard, 88505 Rousseau",Margaud Lecoq-François
34,Festin des chevaliers #1264,2011-01-18,"63, boulevard Lorraine Gautier, 81723 BoyerBourg",Hélène Gillet
35,Festin des chevaliers #4906,2024-07-15,"rue de Gros, 85730 Saint Honoré",Agnès-Zoé Carre
36,Banquet royal #5437,2019-08-02,"avenue Arthur Blondel, 74608 Joseph",Éric Faivre
37,Festin des chevaliers #1505,2004-09-13,"2, rue de Traore, 87712 Sainte Suzanne",Noël Benard
38,Dîner de gala #2682,2000-02-15,"78, rue Michaud, 95707 Sainte Françoise-sur-Mer",Pauline Bernard de Hamon
39,Banquet royal #8335,2005-05-15,"7, chemin de Muller, 97489 GrenierBourg",Jeannine Morin
40,Dîner de gala #5923,2007-10-05,"1, boulevard Barbier, 30675 Sainte Thérèsenec",Jules Merle
41,Agapes fraternelles #8827,2010-03-06,"272, chemin de Muller, 58294 Sanchez",Antoinette Ferreira
42,Festin des chevaliers #6959,2012-12-14,"70, rue Lemaître, 63922 GuérinBourg",Luce-Margaud Verdier
43,Dîner de gala #5774,2018-10-25,"45, chemin Denis Bailly, 77472 Cohen-sur-Mer",Denise Guillon Le Parent
44,Banquet royal #2483,2021-03-16,"45, rue Émilie Rodriguez, 63405 Guilbert",Emmanuel Camus
45,Banquet royal #3164,2018-12-18,"2, rue de Guillon, 43996 Legrosnec",Martin Tessier
46,Déjeuner des preux #7485,2010-06-02,"46, chemin de Gros, 04657 Boucherboeuf",Jeanne Pineau
47,Banquet royal #9250,2021-01-26,"84, rue Bouvet, 17951 Saint Yvesnec",Franck Bonnin
48,Banquet royal #6971,2009-07-14,"6, boulevard de Jourdan, 07942 Buisson",Françoise Rémy
49,Déjeuner des preux #564,2023-10-14,"761, chemin Jeannine Bourdon, 06424 BrunetVille",Roger Andre de la Le Goff
50,Souper d'apparat #9175,2020-02-03,"13, rue Alex Lopes, 27648 Saint Marianne-sur-Mer",Adrien Bertin-Poirier
51,Déjeuner des preux #70,2008-07-15,"38, chemin Amélie Étienne, 92116 Bouvier-sur-Valle",Marie Auger
52,Dîner de gala #6785,2002-12-15,"615, chemin Thibault, 52404 Huet",Bernard Deschamps
53,Déjeuner des preux #4137,2022-06-03,"27, avenue Benoît Millet, 18696 DavidBourg",Frédéric Klein
54,Déjeuner des preux #6518,2001-12-17,"90, chemin Lecoq, 36143 Lopez-sur-Mer",Jérôme Pinto-Grégoire
55,Souper d'apparat #2845,2021-11-07,"rue Michelle Allain, 74511 Deschamps",Paul Dupuis Le Lacombe
56,Agapes fraternelles #8896,2002-07-19,"33, avenue de Pinto, 19742 Lemoine",Sébastien-Luc Hoarau
57,Festin des chevaliers #2918,2005-08-26,"chemin Adrienne Peltier, 83861 Leclercq",Marine Laurent
58,Banquet royal #3516,2000-12-15,"92, avenue Morin, 47715 Saint Alexandrie",Théodore Gallet
59,Agapes fraternelles #7418,2021-03-22,"38, boulevard Maryse Maréchal, 55564 Bonnin-sur-Ba",Théodore Jourdan
60,Souper d'apparat #5179,2017-06-08,"chemin Garnier, 57238 Lamy",Théophile Fournier
61,Souper d'apparat #5513,2010-11-10,"569, rue de Ramos, 21586 Bazin",Yves Fernandez
62,Déjeuner des preux #7064,2003-12-06,"48, rue de Paul, 04813 Verdier",Sophie-Lorraine Garnier
63,Festin des chevaliers #4797,2010-08-07,"rue Margaret Lefèvre, 55521 Dupuy",Anastasie Coulon
64,Agapes fraternelles #6218,2004-08-09,"rue de Valette, 90397 Huetboeuf",Roland du François
65,Banquet royal #662,2001-01-23,"482, avenue de Lecoq, 80975 Chevallier",Hugues Guyot
66,Dîner de gala #8774,2022-10-26,"chemin Pages, 63314 Leleu",Roland Guillou
67,Souper d'apparat #6945,2014-08-08,"12, rue de Richard, 66777 Dupont",Olivier Hebert
68,Déjeuner des preux #8668,2001-05-28,"chemin Leconte, 76978 Leclerc-sur-Bernard",Aurélie Chauvet de la Renault
69,Souper d'apparat #6677,2014-10-11,"41, boulevard Valette, 51801 Ferreira-sur-Ferrand",Xavier Leclercq
70,Festin des chevaliers #1621,2002-06-07,"500, rue de Richard, 23921 Guyon",Denis Poulain
71,Agapes fraternelles #6764,2015-07-15,"543, chemin Dumas, 97660 AntoineVille",Bernard Faure
72,Agapes fraternelles #3692,2022-01-25,"4, avenue de Fleury, 91233 Schneider",Claudine-Laetitia Torres
73,Souper d'apparat #860,2021-11-17,"39, avenue de Klein, 01336 Dubois-sur-Mer",Agnès du Faure
74,Dîner de gala #9540,2014-12-08,"89, chemin Jeannine Leconte, 72790 Fleury",Thierry Monnier
75,Souper d'apparat #2286,2014-09-11,"66, rue de Munoz, 97212 Lamy-sur-Marie",William Chartier
76,Festin des chevaliers #1405,2014-06-09,"chemin de Monnier, 25759 Pons",Théophile de François
77,Souper d'apparat #7422,2005-07-14,"chemin de Leclerc, 79209 MarieVille",Marine Schmitt
78,Déjeuner des preux #6764,2000-04-07,"51, rue Rolland, 19662 Julien",Thibault-Grégoire Pierre
79,Déjeuner des preux #2298,2022-07-12,"95, boulevard de Barre, 53631 Benoit",Bernard Traore
80,Agapes fraternelles #5819,2004-01-05,"24, boulevard Marcelle Meunier, 72656 Le Goffnec",Marianne Duval
81,Déjeuner des preux #5559,2000-07-24,"13, rue Peltier, 24524 Lacombe",Alain Louis
82,Banquet royal #1674,2010-08-26,"65, boulevard Mary, 21531 Carpentier",Hugues Roux
83,Déjeuner des preux #1870,2010-05-18,"215, avenue de Guilbert, 69339 Charrier-sur-Mer",Suzanne-Charlotte Fouquet
84,Festin des chevaliers #8153,2018-10-17,"4, rue de Courtois, 55736 Arnauddan",Célina Le Vallet
85,Déjeuner des preux #9909,2017-02-06,"61, boulevard Dupré, 92722 Teixeira",Grégoire Colin
86,Dîner de gala #785,2005-05-30,"7, rue de Simon, 68543 Saint Nicolasboeuf",Victoire-Margot Hernandez
87,Déjeuner des preux #8654,2010-07-29,"99, rue de Gaudin, 19423 Saint Christophenec",Marie Sanchez
88,Dîner de gala #9630,2010-03-27,"595, rue de Denis, 97438 De Oliveiranec",Margaud du Fournier
89,Agapes fraternelles #7005,2011-04-02,"899, rue Guillou, 03298 Barre-sur-Mer",David Boutin
90,Dîner de gala #6332,2011-01-24,"75, chemin de Evrard, 61593 Lecoqdan",Guy Prévost
91,Dîner de gala #4839,2020-02-10,"26, rue Cordier, 68761 Coste",Manon Le Valentin
92,Agapes fraternelles #7490,2015-06-29,"3, chemin de Lefebvre, 13129 Torresboeuf",Raymond Guillot
93,Agapes fraternelles #6292,2013-09-28,"70, chemin Paul Chauvin, 69792 Da Silva",Diane Chauveau
94,Dîner de gala #670,2003-08-13,"8, rue de Paris, 79875 Lecomtenec",Michèle du Morin
95,Dîner de gala #6168,2019-06-30,"66, rue de Didier, 31176 Sainte Rémy-les-Bains",Maurice Joubert
96,Dîner de gala #8631,2000-04-09,"278, boulevard Éléonore Lemoine, 87511 Huet",Claudine Bousquet
97,Banquet royal #5098,2016-07-24,"7, chemin Dominique Verdier, 13195 Saint Robertboe",Adèle Costa
98,Agapes fraternelles #1112,2023-10-02,"89, rue Schmitt, 97423 Paul",Richard Martins
99,Banquet royal #1312,2004-05-21,"rue Brunel, 89587 Evrard",Marcel Guérin-Guillou
100,Souper d'apparat #861,2016-10-16,"22, boulevard Alexandre Humbert, 50597 Michaud",Lucy Lecoq
101,Agapes fraternelles #1780,2011-06-30,"70, avenue Cousin, 54910 Saint Henri",Lorraine Poirier
102,Déjeuner des preux #6338,2023-04-16,"49, rue Bernadette Pineau, 54629 Rouxnec",Aurore-Célina Carpentier
103,Souper d'apparat #8098,2012-07-11,"10, rue Guichard, 70182 Menard-sur-Nicolas",Théophile Diaz Le Devaux
104,Dîner de gala #1537,2000-12-22,"rue de Joubert, 95186 RouxBourg",Amélie Picard
105,Dîner de gala #4620,2017-01-28,"83, rue de Raynaud, 35949 Bigotboeuf",Manon de Lemaire
106,Agapes fraternelles #9942,2001-07-01,"95, chemin Besnard, 76139 Toussaint",Émile Rocher
107,Souper d'apparat #1638,2008-02-05,"5, avenue Alain François, 58232 Simon",Timothée Léger
108,Banquet royal #8563,2021-03-12,"26, avenue de Delaunay, 42248 Loiseaunec",Joseph Poulain
109,Banquet royal #6453,2024-05-02,"56, boulevard Aurore Le Gall, 19257 Brun",Agathe-Margot Renard
110,Dîner de gala #6691,2019-02-02,"19, chemin Toussaint, 67248 Bourgeois",Stéphane Marques
111,Déjeuner des preux #9001,2020-10-19,"97, rue Paul Lacombe, 28542 Bertinnec",Laurent Costa
112,Souper d'apparat #5819,2004-05-14,"15, rue de Jacob, 20277 Garnier-sur-Reynaud",Josette Mary
113,Festin des chevaliers #5616,2024-04-29,"rue de Humbert, 28825 Lagarde",Pénélope Raymond-Chevalier
114,Souper d'apparat #9612,2009-04-11,"12, rue de Lévêque, 32264 MoulinBourg",Éric Fontaine
115,Dîner de gala #7993,2023-10-22,"4, boulevard de Gilles, 41502 Royer",Jeanne Duhamel-Dumas
116,Festin des chevaliers #8015,2024-03-14,"chemin de Ramos, 69578 Collin",Michèle Millet
117,Agapes fraternelles #3747,2012-09-12,"boulevard Marie Vallée, 42828 Delahaye-la-Forêt",Théodore Menard
118,Déjeuner des preux #5193,2002-09-30,"25, rue Valentin, 06344 Prévost-sur-Julien",Nath Marin
119,Banquet royal #2615,2013-07-23,"58, rue Sanchez, 77998 Gomezdan",Augustin de Grondin
120,Dîner de gala #5950,2013-11-24,"chemin de Lamy, 86104 Bouvier",Bernadette Guibert
121,Souper d'apparat #4992,2020-04-20,"87, chemin Valentin, 27832 Devaux",Maryse Jacquot
122,Dîner de gala #870,2009-06-15,"153, rue de Lagarde, 44758 Chauvin",Bernard de la Berthelot
123,Agapes fraternelles #6423,2012-09-26,"81, rue Marcel Roche, 92584 Ledoux",Hugues Guilbert
124,Agapes fraternelles #2891,2006-12-24,"80, rue Georges Reynaud, 30192 Legendre",Olivie Duval
125,Festin des chevaliers #7479,2002-04-30,"46, chemin Pons, 68938 Sainte Alphonseboeuf",Véronique Antoine
126,Souper d'apparat #9457,2024-04-24,"64, boulevard Aurélie Ledoux, 86361 Saint Juliedan",Marianne Rodriguez
127,Déjeuner des preux #7391,2004-05-04,"boulevard Coulon, 64642 Sainte Théodore-la-Forêt",Denis Traore
128,Agapes fraternelles #6801,2017-01-23,"961, avenue Geneviève Da Silva, 70860 Lamy",Nicolas Boulay
129,Festin des chevaliers #3984,2022-07-03,"boulevard Hardy, 05911 Samson",Robert Bernier
130,Dîner de gala #8668,2016-01-14,"10, chemin Marchal, 75908 Parentdan",Marguerite Cordier-Cousin
131,Dîner de gala #6570,2022-09-05,"92, boulevard Bouchet, 59487 Sainte Genevièvedan",Simone Besnard
132,Banquet royal #1823,2019-10-09,"boulevard Hardy, 16634 Bertin",Emmanuel Gros-Roger
133,Festin des chevaliers #5993,2023-03-12,"21, chemin de Faure, 16297 Devaux",Patricia Chauveau
134,Banquet royal #8675,2002-10-04,"rue Élise Ferreira, 72963 Saint Moniquenec",Laurence Guichard
135,Dîner de gala #3713,2021-01-05,"56, rue de Weber, 83523 Maréchal",Thierry Barbier
136,Déjeuner des preux #536,2014-03-20,"91, rue Reynaud, 47125 Grondindan",Raymond Lebrun-Hernandez
137,Dîner de gala #7647,2006-06-28,"328, rue Noël Colas, 79766 Sainte Catherine",Camille Neveu
138,Agapes fraternelles #3156,2005-05-07,"chemin Catherine Mendès, 38888 Clercnec",Charles-Laurent Delorme
139,Souper d'apparat #1489,2003-12-13,"boulevard de Charles, 76749 Boulangerdan",Luc Perez
140,Agapes fraternelles #1741,2007-09-02,"rue Lefort, 24286 FleuryBourg",Édith Valette de la Fleury
141,Souper d'apparat #2301,2012-12-06,"95, rue de Le Goff, 10918 Huetnec",Bernard Marchand
142,Déjeuner des preux #1530,2017-08-18,"2, rue de Munoz, 46706 Imbert-sur-Gomez",Guy Maréchal
143,Agapes fraternelles #2266,2018-08-22,"42, chemin de Schneider, 49337 Saint Jérôme",Sébastien Letellier
144,Banquet royal #160,2018-06-19,"75, chemin Édith Marie, 89841 Andre",Nath Lemaire
145,Déjeuner des preux #1815,2000-01-01,"1, rue de Torres, 89546 Lebreton-la-Forêt",Auguste Teixeira
146,Banquet royal #2130,2015-12-28,"85, chemin Louis Barre, 71236 Saint Benjamin",Sébastien Dupuis
147,Agapes fraternelles #2804,2015-01-21,"27, rue de Mace, 85529 Gonzalez",Alain du Descamps
148,Agapes fraternelles #265,2010-06-01,"992, boulevard Jules Étienne, 20487 Brunnec",Guillaume Girard
149,Festin des chevaliers #3969,2000-12-29,"boulevard Clémence Vidal, 41269 Weber",Arthur Masse
150,Dîner de gala #1866,2010-12-08,"15, rue Rodriguez, 30366 Thierry",David Chauveau
151,Dîner de gala #1471,2012-05-13,"75, avenue Vincent Martinez, 07352 Mercier",Daniel-Michel De Sousa
152,Banquet royal #1733,2023-11-08,"76, rue de Alves, 82822 Guillon",Tristan Parent-Raymond
153,Festin des chevaliers #8794,2021-12-13,"6, rue Joseph Lebon, 06589 Imbert",Denise Lebrun-Alves
154,Festin des chevaliers #1181,2013-03-29,"62, rue Martin Texier, 67609 Sauvage-sur-Torres",Cécile Barbier
155,Dîner de gala #429,2015-01-31,"35, rue Lorraine Rémy, 87363 Delahaye",Thibaut-Roger Valentin
156,Banquet royal #7618,2017-03-11,"60, rue Poulain, 46275 Alexandre",Joseph Ruiz
157,Banquet royal #8520,2004-08-06,"chemin Bailly, 38663 Saint Célina",Jeanne Duhamel
158,Festin des chevaliers #8529,2005-04-08,"19, rue Hardy, 19523 Carpentier",Louise de la Berthelot
159,Déjeuner des preux #9420,2002-05-05,"rue de Jourdan, 62817 Carliernec",Stéphanie Munoz
160,Déjeuner des preux #3189,2004-01-30,"760, rue Godard, 62191 Dias",Éric du Poulain
161,Banquet royal #9042,2010-06-17,"1, chemin de Georges, 05740 Picard",Zacharie-Matthieu Ledoux
162,Banquet royal #7522,2003-11-21,"368, avenue de Dumont, 97654 Lefèvre-sur-Vincent",Louise Étienne
163,Déjeuner des preux #7719,2021-09-25,"50, boulevard Agathe Maillet, 41499 Saint Zoé",Édouard de Thomas
164,Banquet royal #1687,2007-08-06,"71, boulevard Pruvost, 71301 Saint JosephBourg",Vincent Delahaye
165,Dîner de gala #9210,2005-10-14,"21, rue de Collet, 21484 Thibault",Aurore Descamps
166,Festin des chevaliers #1971,2002-02-19,"964, rue Anaïs Guilbert, 36464 David-sur-Mer",Thibault-Antoine Allain
167,Déjeuner des preux #8820,2001-11-02,"58, rue Xavier Le Goff, 37219 Lemoine-la-Forêt",Christelle Nicolas
168,Agapes fraternelles #1809,2015-07-02,"56, rue de Richard, 09549 Aubert",Adrien Besson
169,Festin des chevaliers #7583,2021-11-01,"boulevard Laurent Maréchal, 47693 Martel-sur-Mer",Julie du Neveu
170,Dîner de gala #2930,2002-02-21,"69, boulevard Delahaye, 85559 Hardy-sur-Boulay",Brigitte Lefebvre
171,Agapes fraternelles #866,2005-10-12,"75, boulevard de Lopes, 24521 Roussel-sur-Faure",Céline Lejeune-Turpin
172,Déjeuner des preux #3898,2010-07-30,"97, chemin Amélie Roy, 11580 Reynaud",Matthieu Rolland
173,Festin des chevaliers #1639,2012-05-25,"6, chemin Élise Leclerc, 36810 Marin",Manon Jacquot
174,Agapes fraternelles #4355,2011-09-24,"57, rue Buisson, 12466 Saint Alexandre-la-Forêt",Gérard du Moreau
175,Déjeuner des preux #9778,2020-02-13,"626, rue de Lévy, 59149 Daniel",Édouard-Adrien Letellier
176,Souper d'apparat #3432,2014-03-09,"7, rue Patrick Delaunay, 03381 Lemaire-sur-Mer",Jeanne Nguyen
177,Dîner de gala #1873,2011-05-15,"96, rue Guy Mendès, 91474 Breton",Joséphine Jourdan
178,Souper d'apparat #5536,2001-04-26,"52, boulevard Georges, 97212 Bourdon",Michèle Klein
179,Banquet royal #3335,2006-02-04,"18, avenue Dominique Fouquet, 35453 Boulanger",Philippe Dupré
180,Banquet royal #4956,2008-06-24,"89, rue Fernandez, 02230 Meunier-sur-Perrin",Célina Rodrigues
181,Banquet royal #3766,2023-03-02,"rue de Chevalier, 53625 Coste",Patrick-Luc Dijoux
182,Festin des chevaliers #9612,2009-07-21,"86, chemin Lemonnier, 65991 Le Roux",Michèle Delaunay
183,Festin des chevaliers #1804,2012-03-09,"107, boulevard Denise Ramos, 20721 Leblancdan",Benjamin-Jérôme Gomez
184,Agapes fraternelles #6053,2023-09-29,"76, chemin Yves Marion, 06607 FournierBourg",Astrid Legrand de Brunet
185,Agapes fraternelles #9214,2014-10-27,"3, boulevard de Boyer, 21104 Bonneau-sur-Martin",Audrey Jacquet-Poirier
186,Banquet royal #9483,2009-11-27,"20, boulevard Aurore Benoit, 67823 Godard",Lucy Hardy-Merle
187,Festin des chevaliers #9369,2023-08-02,"8, rue Martel, 85744 Laurent-sur-Hoareau",Lucy Fontaine
188,Agapes fraternelles #6426,2002-09-01,"69, rue Georges Besnard, 50670 Carpentier-les-Bain",Daniel Camus
189,Agapes fraternelles #8428,2008-06-10,"56, boulevard Benjamin Carlier, 93996 Maryboeuf",Tristan Fouquet
190,Festin des chevaliers #3583,2019-02-08,"8, avenue de Ledoux, 04392 Sainte Lorraine",Timothée-Gilbert Carre
191,Agapes fraternelles #9384,2014-05-14,"951, rue Diallo, 21452 Fernandes",Isaac Gosselin
192,Souper d'apparat #9174,2023-08-06,"303, chemin Amélie Hardy, 97420 Perrier",Thibaut Delorme du Laurent
193,Déjeuner des preux #4493,2010-02-02,"boulevard Josette Mendès, 22868 Lopes",Claude Salmon
194,Agapes fraternelles #5407,2019-05-15,"74, chemin René Roux, 12151 Breton-la-Forêt",Guillaume-Léon Nguyen
195,Agapes fraternelles #3091,2001-08-23,"78, boulevard de Léger, 54164 Perez",Frédérique Vallée
196,Souper d'apparat #4972,2021-06-09,"54, avenue Marcel Loiseau, 81854 Sainte Michellene",Audrey Blanchet-Alexandre
197,Banquet royal #2505,2004-10-04,"824, rue de Fischer, 30700 Saint Georges-la-Forêt",William Le Roux
198,Banquet royal #1520,2017-04-02,"26, chemin de Leclerc, 07466 Laurent-sur-Mer",Nicolas Lefort
199,Agapes fraternelles #4075,2024-10-02,"412, avenue Marie Labbé, 49454 Leconte",Hélène de Collin
200,Souper d'apparat #6910,2023-05-10,"rue Raymond Bousquet, 86821 Saint Sabine-la-Forêt",Marie Royer
201,Dîner de gala #7622,2007-10-27,"752, chemin de Buisson, 23287 Lambert",Richard De Sousa
202,Dîner de gala #3415,2022-05-25,"9, avenue Duhamel, 97382 Sainte JeanneVille",Isaac Lefebvre
203,Festin des chevaliers #2776,2018-03-22,"310, chemin Barbe, 04532 Saint MarianneBourg",Yves de la Adam
204,Dîner de gala #1949,2013-05-08,"29, avenue Bonnet, 36678 Denis",Henriette Barbe de la Roy
205,Dîner de gala #8344,2003-07-17,"38, rue de Lopez, 71587 Lejeune",Thibault Le Charpentier
206,Dîner de gala #6464,2019-08-08,"507, boulevard Édouard Giraud, 97287 Saint Arthur",Lucy Marchal
207,Souper d'apparat #1481,2005-07-27,"54, rue Aimé Germain, 75300 OllivierVille",Timothée Gay
208,Festin des chevaliers #8513,2021-09-22,"580, rue de Roche, 18734 Mendès-sur-Gay",Sébastien Martins-Dupuis
209,Agapes fraternelles #1414,2016-10-21,"boulevard de Faivre, 56881 Ribeiro-sur-Jacquet",Laurent Meyer-Costa
210,Festin des chevaliers #1775,2023-01-12,"rue Lemoine, 65450 Lopes-sur-Hernandez",Robert Fernandes-Lambert
211,Dîner de gala #9894,2021-02-15,"74, chemin Margaux Vincent, 63588 Prévost",Théophile Gaudin
212,Souper d'apparat #140,2005-10-29,"199, rue Lenoir, 23355 BaillyBourg",René Schneider
213,Dîner de gala #9678,2005-01-29,"3, rue de De Sousa, 35368 Henry-sur-Lombard",Nicolas-Matthieu Rémy
214,Souper d'apparat #936,2020-07-28,"85, rue de Bouvier, 11987 Joubert",Benoît Mahe
215,Festin des chevaliers #5038,2008-02-27,"1, rue Adrien Carpentier, 36260 Teixeira-sur-Jacqu",Noémi-Claude Vincent
216,Déjeuner des preux #9642,2015-09-20,"766, rue David Lucas, 52823 Arnauddan",Renée Renault
217,Souper d'apparat #5445,2001-09-14,"64, boulevard Matthieu Diaz, 20401 Lelièvre",Mathilde Weiss
218,Festin des chevaliers #2776,2002-07-12,"590, boulevard Pelletier, 31139 Sainte Christelle-",Timothée Delorme
219,Déjeuner des preux #5153,2022-05-28,"91, rue de Rodrigues, 91951 Alves-les-Bains",Alphonse-Xavier Cordier
220,Déjeuner des preux #3045,2000-03-11,"48, boulevard Martin, 19437 Perez-les-Bains",Isaac Blin
221,Dîner de gala #2070,2009-03-20,"95, rue de Giraud, 79505 Vincent-sur-Nguyen",Julie Coulon-Lecomte
222,Festin des chevaliers #6127,2011-11-10,"33, chemin Simone Fernandes, 93399 Martin",Élisabeth Bazin
223,Déjeuner des preux #1214,2013-08-12,"95, rue Verdier, 41528 Boulanger-la-Forêt",Jérôme Perrin de la Leroy
224,Dîner de gala #3197,2020-11-19,"93, rue Launay, 44598 Sainte Célina",Mathilde-Marthe Bousquet
225,Festin des chevaliers #7369,2019-08-16,"80, rue Christophe Albert, 32244 Gilbert",Éléonore Benoit
226,Souper d'apparat #6247,2015-01-03,"31, rue Auger, 28606 Vaillant",Guy de la Goncalves
227,Festin des chevaliers #7321,2020-09-21,"rue Zacharie Ferreira, 80898 Guillaumedan",Bernadette Techer
228,Dîner de gala #3873,2006-08-13,"17, boulevard Marine Denis, 71379 Lefèvre-sur-Poti",Diane Traore
229,Agapes fraternelles #5929,2018-07-12,"47, boulevard Olivier Paris, 97662 Peron",Josette du Leclerc
230,Dîner de gala #3498,2014-01-31,"6, rue Constance Faure, 91599 Laporte",Julien Besson
231,Dîner de gala #9778,2020-11-10,"289, chemin Margaux Marty, 73928 Sainte Patricia",Zoé Prévost du Allain
232,Déjeuner des preux #8181,2016-02-13,"boulevard Bernard Bernard, 91231 Saint Brigitte-la",Anaïs Cousin du Marques
233,Dîner de gala #3922,2024-05-26,"173, rue de Leclerc, 09410 Saint ClaudeVille",Martin Leconte de la Leroux
234,Banquet royal #6889,2010-01-06,"rue Inès Maury, 12972 Deschamps",Gabriel Voisin
235,Dîner de gala #8737,2017-03-29,"6, chemin de Ribeiro, 79650 Chrétien-sur-Guyon",Luc Launay-Gaillard
236,Banquet royal #7697,2004-03-19,"rue Marguerite Gilles, 04784 Torresboeuf",Bertrand Lelièvre
237,Banquet royal #5439,2010-05-29,"853, chemin de Collet, 74386 Renaudboeuf",Pauline Guérin
238,Agapes fraternelles #3567,2016-08-13,"66, boulevard Aurélie Bigot, 14409 Navarro-la-Forê",Alexandria-Adèle Valette
239,Déjeuner des preux #5434,2012-10-16,"60, rue Cécile Collin, 16400 Saint Antoine",Aurélie Bailly du Jacquot
240,Festin des chevaliers #8601,2005-01-07,"62, rue Nathalie Gaillard, 91527 Moulin-sur-Mer",Sophie-Diane Gros
241,Festin des chevaliers #3969,2023-02-03,"rue Agathe Charles, 08893 Coulon",Jérôme Torres
242,Souper d'apparat #8365,2008-08-22,"17, rue de Mathieu, 13900 Denis-sur-David",Alfred Potier
243,Banquet royal #443,2019-01-10,"66, rue Legros, 51197 Lejeune",Louis Allain
244,Festin des chevaliers #4937,2004-12-16,"37, avenue de Lemaître, 12213 Saint Adèle",Brigitte Neveu
245,Agapes fraternelles #249,2011-05-10,"22, avenue Jacquot, 10535 Saint Marine",Patrick Vaillant du Voisin
246,Agapes fraternelles #3858,2006-05-20,"boulevard Vasseur, 97262 Sainte Matthieuboeuf",Victor Barbe
247,Souper d'apparat #5178,2013-10-28,"32, rue Thomas De Oliveira, 30218 Rolland",Julien Morvan
248,Souper d'apparat #4803,2022-07-20,"78, boulevard de Gauthier, 92601 Vallet-la-Forêt",Josette Evrard
249,Dîner de gala #3592,2006-08-02,"73, rue de Clément, 07771 Saint Capucineboeuf",Thibault Martineau du Lévêque
250,Déjeuner des preux #6272,2004-02-21,"rue de Gallet, 27909 ChevallierVille",Jacqueline Allard-Morin
